id,healthCenterId,name,contractId,typeId,type,address,hasOnlineRecommendation,hasRecommendation,provinceName,cityName,latitude,longitude,distance,duration,specialty,URL,type_name
114804,154854,آزمایشگاه تشخیص پزشکی دکتر شمس-بویین زهرا,1067657,1000106,آزمایشگاه,قزوين-بويين زهرا-بلوارطالقاني-روبروي خيابان آل احمد شرقي -پلاک 124-طبقه همکف,True,True,استان قزوين,بويين زهرا,35.7681611117,50.0636008736,,,,https://iranassistance.com/medical-centers/114804,آزمایشگاه
114806,154858,مرکز تصویربرداری پزشکی محمد-ورامین,1067659,61,تصویربرداری,تهران-ورامين-جنب بيمارستان 15 خرداد,True,True,استان تهران,ورامين,35.3718126629,51.6183561668,,,,https://iranassistance.com/medical-centers/114806,تصویربرداری
114807,154868,مرکز رادیولوژی تخصصی دهان،فک و صورت تابا-بوشهر,1067660,61,تصویربرداری,بوشهر-ميدان امام خميني-ابتداي خيابان فرودگاه -ساختمان روما-طبقه اول,True,True,استان بوشهر,بوشهر,28.9574451242,50.8355607521,,,,https://iranassistance.com/medical-centers/114807,تصویربرداری
114808,154888,درمانگاه شبانه روزی سینا-بندرامام خمینی,1067661,1000166,درمانگاه,خوزستان-بندرامام خميني-خيابان 17 شهريور-روبروي دبستان سميه-پلاک 40-طبقه همکف و اول,True,True,استان خوزستان,بندرامام  خميني,30.5563621182,49.0552573225,,,,https://iranassistance.com/medical-centers/114808,درمانگاه
114810,154890,آزمایشگاه پاتوبیولوژی دکتر نیاکان-گرگان,1067663,1000106,آزمایشگاه,گلستان - گرگان - خيابان وليعصر-نبش عدالت 14,True,True,استان گلستان,گرگان,36.8321432317,54.4410135942,,,,https://iranassistance.com/medical-centers/114810,آزمایشگاه
114811,154892,آزمایشگاه پاتوبیولوژی پویش-قائم شهر,1067664,1000106,آزمایشگاه,مازندران-قائم شهر-خيابان تهران روبروي ايستگاه ميني بوس  سوادکوه -جنب داروخانه خسروي محمدي -پلاک33 طبقه1 واحد1,True,True,استان مازندران,قائم  شهر,36.463127914,52.8609468657,,,,https://iranassistance.com/medical-centers/114811,آزمایشگاه
114812,154895,آزمایشگاه رازی -فریدونکنار,1067665,1000106,آزمایشگاه,مازندران -فريدونکنار -خيابان شهداء جنب درمانگاه بصير - مجتمع رازي -طبقه دوم,True,True,استان مازندران,فريدونکنار,36.6846044015,52.5142760486,,,,https://iranassistance.com/medical-centers/114812,آزمایشگاه
114814,154920,آزمایشگاه تشخیص پزشکی رازی-تنکابن,1067667,1000106,آزمایشگاه,مازندران-تنکابن-خيابان امام -جنب بيمارستان شهيد رجايي -ساختمان پزشکان امين -پلاکک 9334-طبقه دوم -واحد 10/11,True,True,استان مازندران,تنکابن,36.8222043495,50.8743805564,,,,https://iranassistance.com/medical-centers/114814,آزمایشگاه
114816,154922,مرکز رادیولوژی و سونوگرافی مهر-شاهرود,1067669,61,تصویربرداری,سمنان -شاهرود-خيابان 22بهمن-روبروي دنياي کودک-کوچه12-ساختمان پزشکان فاتح-طبقه زيرزمين,True,True,استان سمنان,شاهرود,36.4261556978,54.9685616724,,,,https://iranassistance.com/medical-centers/114816,تصویربرداری
114817,154928,آزمایشگاه تشخیص پزشکی دکترحدیثی-اردبیل,1067670,1000106,آزمایشگاه,اردبيل-خيابان والي-پشت بيمارستان امام خميني-مجتمع پزشکان اردبيل-پلاک 9-طبقه همکف-واحد9,True,True,استان اردبيل,مرکزي  اردبيل,38.2293100146,48.2854993165,,,,https://iranassistance.com/medical-centers/114817,آزمایشگاه
114819,154949,آزمایشگاه پاتوبیولوژی و ژنتیک سعید-تهران,1067672,1000106,آزمایشگاه,تهران-خيابان پاسداران -نبش خيابان رفيق دوست (دشتستان دهم)-پلاک 2,True,True,استان تهران,تهران,35.7621174987,51.4542277313,,,,https://iranassistance.com/medical-centers/114819,آزمایشگاه
114820,154973,مرکز رادیولوژی دهان، فک و صورت دکترمحمدقاسمی-بوشهر,1067673,61,تصویربرداری,بوشهر-ميدان امام خميني-جنب بانک سينا-ساختمان مهرگان-پلاک 501-طبقه 5-واحد اول,True,True,استان بوشهر,بوشهر,28.9574729188,50.8352271721,,,,https://iranassistance.com/medical-centers/114820,تصویربرداری
114821,154992,آزمایشگاه تشخیص پزشکی مهرآگین-شیراز,1067674,1000106,آزمایشگاه,فارس-شيراز-خيابان فلسطين-نبش معدل-ساختمان مهسا-طبقه اول,True,True,استان فارس,شيراز,29.626471784,52.5220310847,,,,https://iranassistance.com/medical-centers/114821,آزمایشگاه
114822,154994,آزمایشگاه پاتوبیولوژی اکسیر-ابهر,1067675,1000106,آزمایشگاه,زنجان - ابهر-جاده ترانزيت -بلوارخرمشهر- روبروي کوچه خورشيد(شهرداري)-جنب سازمان تبليغات اسلامي-پلاک22- طبقه همکف,True,True,استان زنجان,ابهر,36.1543781726,49.2314493627,,,,https://iranassistance.com/medical-centers/114822,آزمایشگاه
114823,155028,آزمایشگاه تشخیص پزشکی مهران-زاهدان,1067676,1000106,آزمایشگاه,سيستان و بلوچستان - زاهدان - تقاطع خيابان خيام و بهشتي -ساختمان پزشکان مهر -طبقه اول,True,True,استان سیستان و بلوچستان,زاهدان,29.490576694,60.862676143,,,,https://iranassistance.com/medical-centers/114823,آزمایشگاه
114825,155091,آزمایشگاه تشخیص پزشکی شهریار-کیش,1067678,1000106,آزمایشگاه,هرمزگان-جزيره کيش-ميدان اميرکبير-خيابان کوشا-طبقه همکف-پلاک 96,True,True,استان هرمزگان,کيش,26.5467355328,54.0102396183,,,,https://iranassistance.com/medical-centers/114825,آزمایشگاه
114827,155094,آزمایشگاه تشخیص پزشکی مهرگان-گنبدکاووس,1067680,1000106,آزمایشگاه,گلستان-گنبد کاووس-تقاطع خيابان طالقاني شرقي و خيام-ساختمان پزشکان پارسه-طبقه زيرزمين-آزمايشگاه تشخيص پزشکي مهرگان,True,True,استان گلستان,گنبدکاووس,37.252466039,55.170544531,,,,https://iranassistance.com/medical-centers/114827,آزمایشگاه
114831,155148,آزمایشگاه تشخیص پزشکی پرتو-کرمانشاه,1067684,1000106,آزمایشگاه,کرمانشاه-شهرک تعاون-ايستگاه 6-جنب بانک ملي-ساختمان پزشکان وحدت-طبقه دوم,True,True,استان کرمانشاه,کرمانشاه,34.3669962586,47.1331889665,,,,https://iranassistance.com/medical-centers/114831,آزمایشگاه
